City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
27,Fushe-Arrez,AL,42.0622,20.0167,42.67,81,0,4.94,clear sky
28,Dudinka,RU,69.4058,86.1778,-12.69,83,13,11.23,few clouds
29,Rawlins,US,41.7911,-107.2387,34.36,55,90,13.8,overcast clouds
30,Thompson,CA,55.7435,-97.8558,12.36,79,75,8.05,light snow
31,Coquimbo,CL,-29.9533,-71.3436,56.93,94,75,6.91,broken clouds
32,Jamestown,US,42.097,-79.2353,42.39,59,75,4.0,broken clouds
33,Yellowknife,CA,62.456,-114.3525,-2.7,88,20,5.75,few clouds
34,Eslov,SE,55.8393,13.3039,47.64,89,99,11.3,overcast clouds
35,Carnarvon,AU,-24.8667,113.6333,69.87,88,75,11.5,light rain
36,Lebu,CL,-37.6167,-73.65,52.75,92,11,16.69,few clouds
37,Tuktoyaktuk,CA,69.4541,-133.0374,1.08,93,100,1.86,overcast clouds
38,Vaini,TO,-21.2,-175.2,86.16,79,40,6.91,scattered clouds
39,Dikson,RU,73.5069,80.5464,-9.4,81,48,16.17,scattered clouds
40,San Patricio,US,28.017,-97.5169,74.01,85,0,8.5,clear sky
41,Northam,GB,51.0333,-4.2167,49.6,79,100,18.16,overcast clouds
42,Hithadhoo,MV,-0.6,73.0833,79.38,86,100,15.37,moderate rain
43,Tasiilaq,GL,65.6145,-37.6368,30.36,95,100,10.4,light snow
44,Kloulklubed,PW,7.0419,134.2556,82.9,74,97,13.85,overcast clouds
45,Alyangula,AU,-13.8483,136.4192,94.87,41,40,10.36,scattered clouds
46,Fairbanks,US,64.8378,-147.7164,-9.4,69,1,0.0,clear sky
47,Coihaique,CL,-45.5752,-72.0662,53.55,82,20,6.91,light rain
48,Ossora,RU,59.2353,163.0719,28.99,80,100,11.63,light snow
49,Victoria,HK,22.2855,114.1577,78.96,83,12,4.0,few clouds
50,Port Alfred,ZA,-33.5906,26.891,63.45,88,99,17.0,light rain
51,Ziniare,BF,12.5822,-1.2983,71.64,17,0,9.75,clear sky
52,Hilo,US,19.7297,-155.09,80.33,80,90,9.22,overcast clouds
53,Atuona,PF,-9.8,-139.0333,78.58,76,10,13.4,clear sky
54,Cherskiy,RU,68.75,161.3,-21.5,100,98,1.41,overcast clouds
55,Constantine,DZ,36.365,6.6147,49.41,87,75,3.44,broken clouds
56,Sorland,NO,67.667,12.6934,36.73,60,100,30.98,overcast clouds
